issue_key,summary,status,resolution,priority,project,components,labels,environment,product,team,root_cause_extracted,fix_applied_extracted,workaround_extracted,key_findings,error_signature,fix_pattern,defect_type,failure_area,quality_score,is_fixed,is_cancelled,created,resolved
HCBS-95506,Apleona| EU | Asset Not associated to PDM App are shown in Rule Summary,Fixed,Fixed,Medium,HCBS,Feature: Rules Summary,Digitized_Maintenance; HBS_L3_Support; drop2,,PSJIRA,Spark,,Updated the feature flag to be customer-specific and added customer ID to enable asset filtering.,,Feature flag behavior was toggled to be customer-specific for better control.,Not associated,Config-Environment,configuration issue,Feature: Rules Summary | PSJIRA | Spark,0.82,True,False,2026-06-08,2026-06-16
HCBS-95503,Add Event feature not working as expected in Asset360 | Repsol Campus,Verified,Fixed,Medium,HCBS,Feature: Asset 360,DigiOpsReview; DigitalOpsReview,,PSJIRA,Phoenix,Issue in staging environment due to a huge backlog in the system.,"Backlog cleared, and older messages were processed; new messages are now available immediately in Find API.",,System backlog caused delays in processing messages in the staging environment.,,Data Sync-Integration,integration issue,Feature: Asset 360 | PSJIRA | Phoenix,0.94,True,False,2026-06-05,2026-07-07
HCBS-95480,HBS-BACS-Multiple Customers - PDM AI SKUs enabled but features not working,Fixed,Fixed,None,HCBS,predictive maintenance,DigitalOps,,PSJIRA,Case Crunchers,Product defect related to PDM AI SKUs was identified.,"The defect was fixed by the team, but further validation was required for specific scenarios.",,Capitalization differences in customer names were tested and passed.,,Data Sync-Integration,integration issue,predictive maintenance | PSJIRA | Case Crunchers,0.94,True,False,2026-05-22,2026-06-12
HCBS-95475,BBET | comfort score mismatch even after Comfort harmonization migration,Fixed,Fixed,Medium,HCBS,predictive maintenance,Digitized_Maintenance; Drop3; HBS_L3_Support; META,,PSJIRA,Spark,"Comfort mismatch issue resolved, but dataflow issue caused missing data for Tower D opportunity app.",Hi User:61098135627b560068123a39 - as discussed with you - Right now comfort mismatch issue is resolved but only for Tower D opportunity app is missing the data from May 10th to till today - It is is dataflow issue - Please connect with Findapi team on this - This is not related to comfort.,,Dataflow issue unrelated to comfort harmonization caused missing data for specific apps.,mismatch; missing,UI-Frontend,data issue,predictive maintenance | PSJIRA | Spark,1.0,True,False,2026-05-29,2026-06-02
HCBS-95473,HBS L3 Support : For HBS - EOM Publish is failing for customer [token] (Site: Singapore Asia Square Tower 1) due to a gateway with a NULL label in the knowledge graph.,More Information Needed,,None,HCBS,Feature: Model Publish,DigitalOpsReview,,PSJIRA,Titan,No delta changes from model sync caused the EOM publish to fail.,,,"Logs indicate no changes were detected during model sync, leading to file skipping.",InnerException; ExitWithAnError; LogQueryError; Failed; 400; 580,Data Sync-Integration,integration issue,Feature: Model Publish | PSJIRA | Titan,0.74,False,False,2026-05-28,
HCBS-95466,ADNOC SKEC 1 | Tower 1 & 4 - Rule Summary Dashboard Sync Issue,Fixed,Fixed,High,HCBS,Feature: Rules Summary,DigiOpsReview; Drop3; HBS_L3_Support; META; digitzed,,PSJIRA,Phoenix,Changes were not promoted to the stage environment due to deployment issues.,"Changes were promoted, and the issue was verified after deployment.",,Deployment issues delayed the promotion of changes to the stage environment.,mismatch,Logic Correction,environment issue,Feature: Rules Summary | PSJIRA | Phoenix,1.0,True,False,2026-05-28,2026-06-09
HCBS-95453,[NL Health Science] Issue Uploading IGT Template file,More Information Needed,,None,HCBS,Feature:  CB Admin Portal,DigitalOpsReview,,PSJIRA,Titan,Customer is using the CB model editor instead of the DF model editor due to not being migrated.,Please let me know if anything else is needed to get this issue resolved.,,The issue stems from the customer being an existing user not migrated to the DF model editor.,not available,Access-Authorization,functional bug,Feature:  CB Admin Portal | PSJIRA | Titan,0.92,False,False,2026-05-21,
HCBS-95445,Canada P3 - East Rail - Filter Rule Not Working,Fixed,Fixed,Medium,HCBS,Feature: Rules Summary,CONFIGURATION; DigitalOps; Drop3; HBS_L3_Support,,PSJIRA,Titan,Duplicate rules appearing even after resync and recompute were performed.,,"Hi [user] you need to republish the rules manually, please look into it once",None of the duplicate rules were targeting assets under the right-side assets list.,duplicate,Logic Correction,data issue,Feature: Rules Summary | PSJIRA | Titan,0.82,True,False,2026-05-22,2026-06-23
HCBS-95440,HBS L3 Support : History Import Folder job stuck for Bangalore BACS site causing data loss and rule generation failure in SkySpark,More Information Needed,,Medium,HCBS,SkySpark,DigitalOpsReview; HBS_L3_Support,,PSJIRA,,"Potential service downtime caused the issue, which had not occurred previously.",,,The issue was isolated to a specific site and may be linked to service downtime.,failure,Job-Workflow-Pipeline,unknown,SkySpark | PSJIRA,0.74,False,False,2026-05-21,
HCBS-95407,MUN - Education Building | Old asset name reflecting in Rule summary dashboard | ZD 382465,In-Work,,Medium,HCBS,predictive maintenance,DigitalOpsReview; Digitized_Maintenance,,PSJIRA,Titan,"Old asset name not updated in EOM, causing discrepancies in the rule summary dashboard.",Asset name needs to be updated in EOM and synced to Find API.,,"The asset rename process was incomplete, leading to outdated names in the dashboard.",,Data Sync-Integration,integration issue,predictive maintenance | PSJIRA | Titan,0.86,False,False,2026-05-21,
HCBS-95389,AZ Camb: Service case API integration testing issue service case E449967,Fixed,Fixed,Medium,HCBS,Feature: Service Cases,DigitalOps; Digitized_Maintenance; Drop3; HBS_L3_Support; NoFF,,PSJIRA,Spark,Special characters in customer data caused activity tab loading issues.,"Special character handling was added for both BACS and non-BACS customers, resolving the issue.","As a workaround, we can delete the special entry from the activity DB.",Activity tab loads successfully after handling special characters.,not loading,Config-Environment,integration issue,Feature: Service Cases | PSJIRA | Spark,1.0,True,False,2026-05-20,2026-06-11
HCBS-95379,DC US: HourlyElectricConsumption Virtual Point — No Data on Insight Builder,Fixed,Fixed,Medium,HCBS,Feature: Insight Builder; Feature: KPI Metric; KPI Ingestion,DigitalOpsReview; META,,PSJIRA,Spark,Point ID caching behavior in the virtual history sync service was not functioning correctly.,"Point GUID was manually added to the cache, and code improvements are planned in another ticket.",Hi [user] this issue is resolved - Viswa connected with SRE and manually added the pointguid in Cache and prod it is working fine.,Manual addition of Point GUID resolved the immediate issue.,not loading; duplicate; failure; missing,Data Sync-Integration,integration issue,"Feature: Insight Builder, Feature: KPI Metric, KPI Ingestion | PSJIRA | Spark",1.0,True,False,2026-05-19,2026-06-09
HCBS-95363,FS Sharm El Sheikh | Admin portal Publish issue for multiple sites,Fixed,Fixed,Urgent,HCBS,Feature:  CB Admin Portal,Drop3,,PSJIRA,Titan,Gateway timeout issue caused by the kgwriter publish pod not running.,Increased the pod count to restore the service and successfully triggered the publish process.,,Increasing pod count resolved the gateway timeout issue.,failed; RuntimeException; ExecutionException; timeout,Data Sync-Integration,functional bug,Feature:  CB Admin Portal | PSJIRA | Titan,1.0,True,False,2026-05-18,2026-06-19
HCBS-95353,AstraZeneca | Forge API Doesn't Return Data For Points Found in EOM,Fixed,Fixed,Urgent,HCBS,Partner Portal: Forge API,,,PSJIRA,Quest,,Issue was verified and confirmed resolved by the CSM.,,Prompt support ensured quick resolution.,,Data Sync-Integration,integration issue,Partner Portal: Forge API | PSJIRA | Quest,0.76,True,False,2026-05-13,2026-05-13
HCBS-95351,HBS-Bristol Myer:Predictive Asset Maintenance dashboard not loading in EU DC,Triaged,,Medium,HCBS,predictive maintenance,DigiOpsReview; DigitalOpsReview; HBS_L3_Support,,PSJIRA,,Predictive Asset Maintenance dashboard algorithm was unable to pick up assets due to model publishing issues.,User:6109a0c4fc68c10069e2ac9d Added my comments:,Immediate action required to republish the model successfully for algorithm execution.,,not loading; failure,Data Sync-Integration,access issue,predictive maintenance | PSJIRA,0.92,False,False,2026-05-13,
HCBS-95347,UAE DC | ADNOC - SKEC | ROI - Operational Cost Calculation mismatch,Fixed,Fixed,High,HCBS,Feature: Forge Value Impact,DigitalOpsReview; META; NoFF,,PSJIRA,Titan,Duplicate data in the Find API caused operational cost calculation mismatch.,"Duplicate data was cleaned up, and Apply Default was triggered to resolve the issue.",,Duplicate metrics were identified and removed to fix the issue.,mismatch; duplicate,Data Cleanup,data issue,Feature: Forge Value Impact | PSJIRA | Titan,1.0,True,False,2026-05-12,2026-06-05
HCBS-95345,Memorial Bahcelievler | Mismatch Between Analytics DataFlow and Forge DB,Fixed,Fixed,Medium,HCBS,Feature:  PDMAI - Analytics Configuration,Digitized_Maintenance; Drop3; HBS_L3_Support; META,,PSJIRA,Spark,Dataflow was not occurring due to an issue with the energy database's last updated time.,"Manually updated the energy database's last updated time, which restored the data flow.","We have updated hisEnd manually, Raw point history has the dataflow in the DB but dataflow is not happening - analyzing further.",Updating the energy database's last updated time resolved the dataflow issue.,Mismatch,Workaround-Manual,access issue,Feature:  PDMAI - Analytics Configuration | PSJIRA | Spark,1.0,True,False,2026-05-12,2026-05-28
HCBS-95339,AI-Predictive Asset Health:Unit Discrepancy Between Asset Health UI and Backend (EOM),Fixed,Fixed,High,HCBS,predictive maintenance,PdM_AI_2026.1_prodissues,,PSJIRA,Case Crunchers,Unit discrepancies caused by missing or incorrect unit mappings in the backend.,"Implemented logic to fetch units from IS DESCRIBED BY UNIT relation or unit.UnitName property, defaulting to point-role's unit if missing.",The scenario could be some one manually updated the units ony in EOM.This will create sync issues in other system.,Unit mapping logic was enhanced to handle missing or incorrect unit configurations.,,Data Sync-Integration,integration issue,predictive maintenance | PSJIRA | Case Crunchers,0.94,True,False,2026-05-12,2026-06-05
HCBS-95338,HBS-Singapore Asia Square Tower 2: Apply default takes 23 mins for this site,Triaged,,High,HCBS,Feature: Forge Value Impact,DigiOpsReview; DigitalOpsReview; HBS_L3_Support,,PSJIRA,Sharky,Low CPU limit caused delays in processing due to high I/O operations.,,Increase CPU limit to 1500 mCPUs to improve processing time.,,duplicate,Access-Authorization,access issue,Feature: Forge Value Impact | PSJIRA | Sharky,0.74,False,False,2026-05-12,
HCBS-95331,FS Sharm El Sheikh & ADNOC Tower 4 | Admin portal Publish issue for multiple sites,Fixed,Fixed,Urgent,HCBS,Feature:  CB Admin Portal,Digitized_Maintenance; Drop3; HBS_L3_Support; META,,PSJIRA,Titan,Expired secret in the function app caused publish failures.,"Renewed the expired secret, which resolved the publish issue.",,Secret expiration in the function app was the root cause of the issue.,failed; RuntimeException; ExecutionException; 400,Data Sync-Integration,integration issue,Feature:  CB Admin Portal | PSJIRA | Titan,1.0,True,False,2026-05-11,2026-05-19
HCBS-95315,BBET- Tower H | History flow stuck in Skyspark,More Information Needed,,High,HCBS,SkySpark,DigitalOpsReview; META,,PSJIRA,,Missing timezone tags for points in SkySpark and DataFlow.,In DF timezone is not added the points or in EOM timezone will be missing.,Verify and add proper timezone tags in DataFlow and publish to SkySpark.,,failed; missing,Data Sync-Integration,integration issue,SkySpark | PSJIRA,0.92,False,False,2026-05-08,
HCBS-95285,DC EU | Real Madrid | Insight Builder dashboard save fails when widget label contains special character,Fixed,Fixed,None,HCBS,Feature: Insight Builder,DigitalOpsReview; HammerPartnerAppWork; frontend,,PSJIRA,Hammer,Special characters in service case label filters caused dashboard save failures.,Updated Octopus variable Validation FreeTextFields and redeployed to handle special characters.,,Special character validation was missing in service case label filters.,failure,UI-Frontend,performance issue,Feature: Insight Builder | PSJIRA | Hammer,1.0,True,False,2026-05-06,2026-05-25
HCBS-95280,Defect - Remote PPM report - Not working in all Sites | ZD 377422,More Information Needed,,None,HCBS,predictive maintenance,DigiOpsReview; DigitalOpsReview; Digitized_Maintenance,,PSJIRA,Hammer,Configuration gaps at different sites caused the remote PPM report to fail.,,,Each site may have unique configuration issues impacting the report functionality.,Failed,Config-Environment,functional bug,predictive maintenance | PSJIRA | Hammer,0.74,False,False,2026-05-06,
HCBS-95242,BACS | ADNOC | AI enablement issue | Unable to read site ID from EOM for Asset Types,Fixed,Fixed,None,HCBS,,META,,PSJIRA,Case Crunchers,"EOM job filtered out asset types not matching AHU, FCU, and CHILLERS, causing site ID issues.",,,Point role configuration in EOM was insufficient for certain asset types.,not available,Null Handling,access issue,PSJIRA | Case Crunchers,0.77,True,False,2026-04-30,2026-06-12
HCBS-95234,HBS-Sinapore Asia Square Tower 2:PPM showing no data due to Maintenance cost metri engine is not running.,Fixed,Fixed,High,HCBS,Feature: Forge Value Impact,CONFIGURATION; DigiOpsReview; HBS_L3_Support,,PSJIRA,Titan,Blended tariff telemetry not associated with any blended tariff metric caused the maintenance cost metric engine to stop.,"Cleaned up unassociated blended tariff telemetry, restoring custom task metrics.",,Unassociated blended tariff telemetry caused the maintenance cost metric engine to fail.,not associated,Config-Environment,configuration issue,Feature: Forge Value Impact | PSJIRA | Titan,1.0,True,False,2026-04-30,2026-05-11
HCBS-95228,Insight Builder | Heatmap Widget auto inserting Value column,Fixed,Fixed,Low,HCBS,Feature: Insight Builder,DigiOpsReview,,PSJIRA,Hammer,,The defect was fixed and verified in performance and staging environments.,,,,UI-Frontend,performance issue,Feature: Insight Builder | PSJIRA | Hammer,0.76,True,False,2026-04-29,2026-05-27
HCBS-95224,Insight Builder dashboard with multiple table when adjust column width of one table it change the row data configuration of another table to follow the former,Deployment Queue,Fixed,None,HCBS,Feature: Insight Builder,DigitalOpsReview; Digitized_Maintenance; Drop3; HBS_L3_Support; NoFF; frontend,,PSJIRA,Hammer,Adjusting the column width in one table caused unintended changes in the row data configuration of another table.,Sorting and resizing issues were verified and resolved in both Heatmap and Tab in the performance and staging environments.,,Similar issues were observed in the PDM heatmap.,,Config-Environment,configuration issue,Feature: Insight Builder | PSJIRA | Hammer,0.94,True,False,2026-04-29,2026-06-15
HCBS-95215,Verizon | Unit Discrepancies in CO2 Emission Data Across PDM-Deployed Sites,More Information Needed,,Medium,HCBS,predictive maintenance,DigitalOpsReview; Digitized_Maintenance; HBS_L3_Support,,PSJIRA,,The model in Skyspark and EOM are not in sync.,,,The issue may require involvement from the DF team if AOC cannot resolve it.,,Data Sync-Integration,integration issue,predictive maintenance | PSJIRA,0.68,False,False,2026-04-28,
HCBS-95172,Skyspark publish failing multiple times from DF | Capital One | US DC,Triaged,,High,HCBS,SkySpark,DigiOpsReview; DigitalOpsReview,,PSJIRA,AOC,,Hi [user] what is the current update on this and when will this be deployed in production ?,,,,Data Sync-Integration,integration issue,SkySpark | PSJIRA | AOC,0.68,False,False,2026-04-27,
HCBS-95140,UNSW | ImportModelToSkySpark Task Failis Repeatedly,Fixed,Fixed,Medium,HCBS,predictive maintenance,DigitalOpsReview; Onboarding_Blocker,,PSJIRA,Spark,"Default rules in Skyspark could not be cleaned up in the non-BACS (Old Flow), causing Skyspark to fail in responding.","The default rules were cleaned up in Skyspark, and the publish was retried.",AOC runs basicSetup and equipGrouping manually through skyspark as per old flow process.,This issue does not occur in the BACS flow.,TraceException; HttpException; failure,Data Sync-Integration,integration issue,predictive maintenance | PSJIRA | Spark,1.0,True,False,2026-04-22,2026-05-11
HCBS-95115,CSM: UOW: VIS Lost visualisation change in decimal points,Fixed,Fixed,Medium,HCBS,Feature: Forge Value Impact,ConnectedStrategy-Drop2; Drop3; HBS_L3_Support,,PSJIRA,,,,,,,UI-Frontend,access issue,Feature: Forge Value Impact | PSJIRA,0.43,True,False,2026-04-21,2026-04-22
HCBS-95110,UAE DC | UAE Univ | Service cases unable to close,Fixed,Fixed,Medium,HCBS,Feature: Service Cases,META,,PSJIRA,Quest,,,,,404; missing,UI-Frontend,functional bug,Feature: Service Cases | PSJIRA | Quest,0.64,True,False,2026-04-20,2026-04-21
HCBS-95109,"UAE DC | ADNOC SKEC-1 | Custom Asset Type not seeing in ""New Asset"" window dropdown",More Information Needed,,High,HCBS,Feature:  CB Admin Portal,DigiOpsReview; META; Onboarding_Blocker,,PSJIRA,Titan,The custom asset type was not displaying in the CDT page even after clearing the model cache.,This issue is now resolved after clearing the model Editor cache.,Clearing the model cache was attempted but did not resolve the issue.,EOM still contains the 'Closed Control Unit' custom asset type.,not reflecting; not available,UI-Frontend,access issue,Feature:  CB Admin Portal | PSJIRA | Titan,0.92,False,False,2026-04-20,
HCBS-95105,All DC: Random Sites: Rule execution error shows without any errTrace in analytics server,Triaged,,Medium,HCBS,Feature:  PDMAI - Analytics Configuration,DigitalOpsReview,,PSJIRA,Spark,,The issue is expected to be resolved after moving the related ticket BACS-44705 to production.,,The issue is related to rule recompute errors without error traces in the analytics server.,,Logic Correction,functional bug,Feature:  PDMAI - Analytics Configuration | PSJIRA | Spark,0.68,False,False,2026-04-17,
HCBS-95100,HBS L3 Support : Point role information lost after point confirmation issue auto-resolved - assets missing configured points in model,Triaged,,High,HCBS,Feature:  CB Admin Portal,DigitalOpsReview,,PSJIRA,Titan,The point role data was permanently wiped from 44 points after the point confirmation issue auto-resolved.,The bug from HCBS-93737 did occur in production at the Muscat Airport (OMAN AIRPORTS) site before it auto-resolved.,,The issue from HCBS-93737 reoccurred in production at the Muscat Airport site before auto-resolving.,missing,Config-Environment,access issue,Feature:  CB Admin Portal | PSJIRA | Titan,0.92,False,False,2026-04-15,
HCBS-95097,JAL Public Schools | ZOOTR Issue | Value shows N/A during nighttime in ZOOTR 9PM - 5AM,Fixed,Fixed,Medium,HCBS,Feature: Zone Out of Range Temperature,HBS_L3_Support,,PSJIRA,Spark,,The issue was resolved by backfilling data and confirming with the requester.,,,not reflecting,Data Sync-Integration,configuration issue,Feature: Zone Out of Range Temperature | PSJIRA | Spark,0.82,True,False,2026-04-13,2026-04-20
HCBS-95093,HBS Pacific TAM | Navigating from ZooTR dashboard to Facility Page Changes Dashboard Date Range | ZD 370314,Fixed,Fixed,None,HCBS,predictive maintenance,DigiOpsReview; Digitized_Maintenance; NoFF,,PSJIRA,Spark,,The issue was fixed and validated in the staging environment.,,The fix ensures that the custom date range is retained when navigating between dashboards.,not available,UI-Frontend,environment issue,predictive maintenance | PSJIRA | Spark,0.82,True,False,2026-04-13,2026-05-21
HCBS-95088,Manati | Update System Primary Key issue,Fixed,Fixed,Medium,HCBS,Feature:  PDMAI - Analytics Configuration,Digitized_Maintenance; Drop3; HBS_L3_Support,,PSJIRA,Spark,"The configuration value SystemPrimaryKeyBackfillConfig BatchSize was set to 1000, causing SkySpark to throw a bad gateway error.","The batch size was reduced to 100, allowing the system primary key to update successfully.",A tool was provided to correct the configuration issue.,The issue was resolved manually at the Manatí site due to its long-standing nature.,duplicate,Access-Authorization,access issue,Feature:  PDMAI - Analytics Configuration | PSJIRA | Spark,1.0,True,False,2026-04-10,2026-05-22
HCBS-95072,MUN-Core Science | Unable to recomputing the site | ZD 369648,Triaged,,Medium,HCBS,predictive maintenance,DigitalOpsReview; Digitized_Maintenance,,PSJIRA,Spark,"This one is wide spread, recomputation does not work on its own due to lot of traffic at VM server.",,this is blocker and workaround is restart the server which is not feasible.,Recomputing showed better percentages but was not completing properly due to missing error traces.,missing,UI-Frontend,functional bug,predictive maintenance | PSJIRA | Spark,0.74,False,False,2026-04-09,
HCBS-95035,JAL Public School | tz assignment Issue |affecting skyspark and ZOOTR dashboard| Enum issue,Fixed,Fixed,Urgent,HCBS,SkySpark,HBS_L3_Support; ZOOTR,,PSJIRA,Titan,The timezone value was removed or overwritten during the site onboarding process.,"The timezone value 'America/Mexico City' was updated to the EOM site, and the issue was verified after publishing.",for now we have updated the Timezone value America/Mexico City to EOM site node.,"The site was onboarded in November 2025, and the root cause could not be identified.",missing; failed,Data Sync-Integration,integration issue,SkySpark | PSJIRA | Titan,1.0,True,False,2026-03-31,2026-04-09
HCBS-94954,RBM Admin Portal (React application) landing page loading issue - prod US,Pending Test,,Urgent,HCBS,Feature: RBM Admin Portal,,,PSJIRA,Titan,Intermittent server overload caused delays in processing client requests during peak load periods.,,Scaling up allocated resources vertically is being implemented to address the issue.,"The application experiences high usage during peak load periods, leading to resource delays.",,Access-Authorization,performance issue,Feature: RBM Admin Portal | PSJIRA | Titan,0.68,False,False,2026-03-25,
HCBS-94952,CSM AOC ParQ MDB-02-Main Energy Point issue for Jan 11 | ZD 347650,Triaged,,Medium,HCBS,predictive maintenance,DigiOpsReview; DigitalOpsReview; Digitized_Maintenance,,PSJIRA,,"Fault was deleted after creation, and Spark data was imported into databases for days when SkySpark showed no fault.","The asset availability service always runs for the last three days, so availability updated to 100 once the fault disappeared from SkySpark.",,Asset availability service updates to 100% due to running for the last three days.,,External Dependency,performance issue,predictive maintenance | PSJIRA,0.86,False,False,2026-03-25,
